DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.23	02:45:00	1742.05	1742.17	1740.98	1741.28	538	0	6
2022.11.23	03:00:00	1741.32	1742.25	1740.50	1740.57	1431	0	6
2022.11.23	03:15:00	1740.57	1740.86	1739.47	1739.85	1396	0	10
2022.11.23	03:30:00	1739.85	1740.33	1739.02	1739.14	933	0	10
2022.11.23	03:45:00	1739.14	1740.90	1738.98	1740.29	1300	0	10
2022.11.23	04:00:00	1740.24	1740.36	1739.26	1740.21	1152	0	10
2022.11.23	04:15:00	1740.21	1740.98	1739.65	1739.81	589	0	10
2022.11.23	04:30:00	1739.81	1740.10	1738.97	1739.51	702	0	10
2022.11.23	04:45:00	1739.51	1741.76	1739.45	1741.67	873	0	10
2022.11.23	05:00:00	1741.66	1741.67	1739.65	1739.83	840	0	10
2022.11.23	05:15:00	1739.72	1740.08	1738.79	1738.97	831	0	10
2022.11.23	05:30:00	1738.97	1739.48	1738.87	1738.88	465	0	10
2022.11.23	05:45:00	1738.88	1739.16	1736.84	1737.22	606	0	10
2022.11.23	06:00:00	1737.18	1737.19	1732.72	1734.98	992	0	10
2022.11.23	06:15:00	1734.98	1735.13	1734.01	1734.13	489	0	10
2022.11.23	06:30:00	1734.12	1734.85	1734.00	1734.45	428	0	10
2022.11.23	06:45:00	1734.45	1734.96	1734.12	1734.95	444	0	10
2022.11.23	07:00:00	1734.95	1735.02	1734.09	1734.41	577	0	10
2022.11.23	07:15:00	1734.40	1736.11	1733.47	1736.11	813	0	10
2022.11.23	07:30:00	1736.11	1736.33	1734.96	1735.94	832	0	10
2022.11.23	07:45:00	1735.94	1736.75	1735.47	1736.52	921	0	10
2022.11.23	08:00:00	1736.46	1737.28	1736.27	1736.92	896	0	10
2022.11.23	08:15:00	1736.91	1737.41	1736.57	1736.75	773	0	10
2022.11.23	08:30:00	1736.76	1738.05	1736.76	1737.99	715	0	10
2022.11.23	08:45:00	1738.00	1740.14	1737.84	1738.93	1021	0	10
2022.11.23	09:00:00	1738.96	1740.17	1738.12	1740.05	1042	0	10
2022.11.23	09:15:00	1740.05	1742.13	1739.95	1741.17	1392	0	10
2022.11.23	09:30:00	1741.18	1744.03	1740.55	1743.71	1455	0	10
2022.11.23	09:45:00	1743.77	1745.74	1743.73	1744.22	1663	0	10
